cohort,activity_bucket,user_count,avg_answer_derived_rep,pct_rep_from_answer_upvotes,avg_non_answer_rep,avg_reputation,rep_per_answer,bonus_rep_per_answer
Early (2008-2012),0_none,657508,0.0,0.0,51.63,51.63,,
Early (2008-2012),1_1-5,423869,75.44,34.0,146.57,222.01,118.94,78.53
Early (2008-2012),2_6-20,139077,425.33,40.2,631.41,1056.74,96.85,57.87
Early (2008-2012),3_21-100,86060,1817.9,53.8,1561.63,3379.53,76.31,35.26
Early (2008-2012),4_101-500,24657,8675.0,69.2,3855.66,12530.66,62.9,19.35
Early (2008-2012),5_500+,4613,65373.63,86.6,10115.32,75488.95,53.03,7.11
Late (2018-2022),0_none,9815951,0.0,0.0,2.83,2.83,,
Late (2018-2022),1_1-5,688681,15.07,42.3,20.59,35.66,23.3,13.45
Late (2018-2022),2_6-20,65762,97.6,47.2,109.16,206.76,20.7,10.93
Late (2018-2022),3_21-100,17461,403.7,52.6,364.15,767.85,19.5,9.25
Late (2018-2022),4_101-500,2416,2137.45,57.7,1566.97,3704.42,19.48,8.24
Late (2018-2022),5_500+,301,15471.76,63.0,9105.79,24577.55,21.04,7.8
