score_bucket,question_count,pct_of_total,total_score_contribution,pct_of_total_score,avg_views,avg_answers,pct_with_accepted_answer,avg_favorites
negative,1583251,7.02,-2781212,-5.57,584.0,1.54,47.8,0.65
zero,10300741,45.65,0,0.0,589.0,1.18,43.42,0.82
score_1,5043984,22.36,5043984,10.11,1023.0,1.31,52.47,0.97
score_2-4,3858871,17.1,9974942,19.99,2331.0,1.65,60.38,1.27
score_5-9,1012981,4.49,6455218,12.94,6829.0,2.31,68.87,2.07
score_10-24,495774,2.2,7235531,14.5,17677.0,3.3,75.82,4.15
score_25-49,146162,0.65,4978282,9.98,43369.0,4.83,81.74,9.52
score_50-99,69079,0.31,4737128,9.49,85781.0,6.65,84.94,19.35
score_100-499,46448,0.21,8787846,17.61,214357.0,10.45,87.59,54.53
score_500+,4974,0.02,5472306,10.97,901551.0,20.97,90.97,336.92
