week_start,day_of_week,day_name,upvotes,downvotes,accepted,total_votes,upvote_downvote_ratio
2022-06-27,1,Sunday,20369,3813,1065,29068,5.34
2022-06-27,3,Tuesday,42434,5971,1931,57117,7.11
2022-06-27,4,Wednesday,42079,6548,1864,57451,6.43
2022-06-27,5,Thursday,40825,5911,1878,55469,6.91
2022-06-27,6,Friday,35430,5106,1681,47799,6.94
2022-06-27,7,Saturday,19110,3762,982,27541,5.08
2022-07-04,1,Sunday,19543,3620,999,27884,5.4
2022-07-04,2,Monday,34984,5455,1639,47667,6.41
2022-07-04,3,Tuesday,40038,5805,1847,53834,6.9
2022-07-04,4,Wednesday,42000,6038,1933,56461,6.96
2022-07-04,5,Thursday,41244,6126,1851,55924,6.73
2022-07-04,6,Friday,36287,5376,1656,49028,6.75
2022-07-04,7,Saturday,18943,4021,927,27703,4.71
2022-07-11,1,Sunday,20282,3784,1030,28921,5.36
2022-07-11,2,Monday,37310,5892,1853,51003,6.33
2022-07-11,3,Tuesday,40372,5638,1776,53905,7.16
2022-07-11,4,Wednesday,41150,5907,1727,55347,6.97
2022-07-11,5,Thursday,38875,5764,1820,52689,6.74
2022-07-11,6,Friday,35515,5484,1724,48767,6.48
2022-07-11,7,Saturday,19687,3719,1025,28268,5.29
2022-07-18,1,Sunday,20606,3855,1050,29373,5.35
2022-07-18,2,Monday,37795,5723,1788,51434,6.6
2022-07-18,3,Tuesday,40647,5808,1935,55069,7.0
2022-07-18,4,Wednesday,42219,6214,1911,57451,6.79
2022-07-18,5,Thursday,40846,5852,1961,55178,6.98
2022-07-18,6,Friday,36510,5541,1737,49976,6.59
2022-07-18,7,Saturday,20140,3802,1092,28967,5.3
2022-07-25,1,Sunday,20686,3832,1056,29544,5.4
2022-07-25,2,Monday,38404,5934,1842,52538,6.47
2022-07-25,3,Tuesday,41797,6023,1849,56665,6.94
2022-07-25,4,Wednesday,42220,6109,2000,57109,6.91
2022-07-25,5,Thursday,39905,5811,1923,53980,6.87
2022-07-25,6,Friday,32253,5326,1555,44435,6.06
2022-07-25,7,Saturday,19514,4160,1055,28616,4.69
2022-08-01,1,Sunday,19788,3953,1053,28834,5.01
2022-08-01,2,Monday,36492,5702,1814,50258,6.4
2022-08-01,3,Tuesday,41391,5958,1838,55867,6.95
2022-08-01,4,Wednesday,40320,5585,1881,54382,7.22
2022-08-01,5,Thursday,40788,6056,1805,55443,6.74
2022-08-01,6,Friday,35319,5737,1658,48695,6.16
2022-08-01,7,Saturday,19556,3728,1030,28083,5.25
2022-08-08,1,Sunday,19411,3955,977,28258,4.91
2022-08-08,2,Monday,37355,5644,1880,51072,6.62
2022-08-08,3,Tuesday,39225,5984,1857,53509,6.55
2022-08-08,4,Wednesday,41423,6286,1900,56195,6.59
2022-08-08,5,Thursday,39378,5468,1963,53143,7.2
2022-08-08,6,Friday,35560,5288,1697,48341,6.72
2022-08-08,7,Saturday,18870,3856,993,27736,4.89
2022-08-15,1,Sunday,20278,3998,1076,29302,5.07
2022-08-15,2,Monday,33745,5283,1633,46372,6.39
2022-08-15,3,Tuesday,40430,5853,1913,54647,6.91
2022-08-15,4,Wednesday,41621,6394,1980,56774,6.51
2022-08-15,5,Thursday,40185,5988,1947,54498,6.71
2022-08-15,6,Friday,35666,5583,1658,48842,6.39
2022-08-15,7,Saturday,19408,4064,999,28168,4.78
2022-08-22,1,Sunday,20010,3967,1088,29330,5.04
2022-08-22,2,Monday,38755,5739,1819,52370,6.75
2022-08-22,3,Tuesday,40721,6002,1857,55319,6.78
2022-08-22,4,Wednesday,41790,6062,1843,56327,6.89
2022-08-22,5,Thursday,40438,5997,1903,54823,6.74
2022-08-22,6,Friday,35976,5587,1622,48997,6.44
2022-08-22,7,Saturday,19709,3883,1006,28385,5.08
2022-08-29,1,Sunday,19712,4001,1047,28620,4.93
2022-08-29,2,Monday,37734,5789,1806,51577,6.52
2022-08-29,3,Tuesday,41013,5994,1809,55397,6.84
2022-08-29,4,Wednesday,40824,5987,1770,54903,6.82
2022-08-29,5,Thursday,39856,5910,1812,53930,6.74
2022-08-29,6,Friday,36173,5387,1652,48852,6.71
2022-08-29,7,Saturday,19164,4099,984,28035,4.68
2022-09-05,1,Sunday,19593,3927,990,28227,4.99
2022-09-05,2,Monday,34428,5687,1677,47377,6.05
2022-09-05,3,Tuesday,41306,5596,1740,54878,7.38
2022-09-05,4,Wednesday,40673,5812,1746,54737,7.0
2022-09-05,5,Thursday,39959,5772,1725,54135,6.92
2022-09-05,6,Friday,35264,5074,1585,47944,6.95
2022-09-05,7,Saturday,19309,3862,1022,28137,5.0
2022-09-12,1,Sunday,19776,4377,1069,29113,4.52
2022-09-12,2,Monday,37701,5724,1829,51173,6.59
2022-09-12,3,Tuesday,41216,6223,1782,55820,6.62
2022-09-12,4,Wednesday,41115,6247,1831,55856,6.58
2022-09-12,5,Thursday,39755,5967,1845,53748,6.66
2022-09-12,6,Friday,35698,5752,1709,49168,6.21
2022-09-12,7,Saturday,18796,4417,1030,28366,4.26
2022-09-19,1,Sunday,6445,1402,333,9394,4.6
2022-09-19,2,Monday,37507,5618,1776,51054,6.68
2022-09-19,3,Tuesday,40799,6179,1732,55525,6.6
2022-09-19,4,Wednesday,38766,6024,1717,52775,6.44
2022-09-19,5,Thursday,39399,6062,1771,53871,6.5
2022-09-19,6,Friday,35187,5482,1655,48387,6.42
2022-09-19,7,Saturday,18604,4192,975,27571,4.44
