creation_year,user_count,avg_account_age_days,avg_reputation,avg_rep_per_day,median_rep_per_day,p90_rep_per_day,p99_rep_per_day,avg_up_votes,avg_down_votes,high_velocity_users,pct_high_velocity
2008,8787,5104.0,16742.0,3.276,0.859,7.107,38.73,796.1,139.3,4097,46.63
2009,23255,4811.0,8361.0,1.731,0.393,3.495,21.018,543.0,68.6,6843,29.43
2010,36971,4456.0,4638.0,1.038,0.237,2.127,13.064,404.4,56.3,7529,20.36
2011,64661,4091.0,2734.0,0.666,0.154,1.36,8.451,298.4,36.7,8754,13.54
2012,97745,3731.0,1592.0,0.425,0.091,0.834,5.144,199.1,28.2,8038,8.22
2013,124864,3375.0,939.0,0.278,0.039,0.553,3.419,132.1,19.2,6565,5.26
2014,118155,3011.0,652.0,0.216,0.029,0.427,2.666,102.2,14.0,4675,3.96
2015,124499,2641.0,484.0,0.183,0.022,0.348,2.387,81.1,10.2,4017,3.23
2016,142538,2279.0,317.0,0.139,0.013,0.266,1.772,55.6,6.4,3176,2.23
2017,155026,1911.0,201.0,0.105,0.007,0.206,1.347,37.0,3.6,2444,1.58
2018,153178,1546.0,139.0,0.09,0.007,0.152,1.155,25.0,2.9,1923,1.26
2019,173442,1179.0,83.0,0.07,0.001,0.111,0.956,15.4,1.7,1645,0.95
2020,253813,813.0,43.0,0.052,0.001,0.086,0.733,7.6,0.8,1692,0.67
2021,394519,432.0,16.0,0.035,0.003,0.056,0.454,2.0,0.3,1617,0.41
2022,1098442,94.0,3.0,0.067,0.015,0.111,1.0,0.2,0.0,5870,0.53
